team_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance
1,10065675,7287765,73256757,42758280,0,0,0,0,0,0,135100250,816060,0,16638,1997047,0,0,0,25.7500,0,0,0,0,0,12000000,0,0,0,0,140000000,0,0,133368477,147916310,-14547833,-7916310
2,13650615,14206005,98418919,62410500,0,0,0,0,0,0,165162500,648120,0,16874,1783443,0,0,0,30.2500,0,0,0,0,0,12000000,0,0,0,0,190000000,0,0,188686039,177810620,10875419,12189380
3,13581570,20370345,151405405,77834925,0,0,0,0,0,0,213443500,416120,0,15810,1541511,0,0,0,33.5000,0,0,0,0,0,12000000,0,0,0,0,270000000,0,0,263192245,225859620,37332625,44140380
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8963888,10522042,106081081,54142560,0,0,0,0,0,0,13375000,816000,0,19344,2025058,0,0,0,27.2500,0,0,0,0,0,12000000,0,0,0,0,180000000,0,0,179709571,26191000,153518571,153809000
10,8963888,10522042,106081081,54142560,0,0,0,0,0,0,13375000,754000,0,18979,1927050,0,0,0,27.2500,0,0,0,0,0,12000000,0,0,0,0,180000000,0,0,179709571,26129000,153580571,153871000
11,8672400,9025830,106081081,51856740,0,0,0,0,0,0,13375000,770000,0,18104,1806959,0,0,0,24.7500,0,0,0,0,0,12000000,0,0,0,0,180000000,0,0,175636051,26145000,149491051,153855000
12,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,908022,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,905778,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,906155,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,905254,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,4049,682627,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,696015,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,4296,719017,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,4255,715322,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,4887,899630,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,4784,810419,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
