team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,2027,100,1,0,0,23,230,874,228,632,14,23,0,1,30,6,0,1896,0,0.9840,4.0823,0.2000,0.0000
2,2027,100,1,0,0,24,240,849,207,628,14,20,0,1,5,2,0,1884,0,0.9835,3.9889,0.4000,0.0000
3,2027,100,1,0,0,23,230,865,225,620,20,26,0,2,12,2,0,1860,0,0.9769,4.0887,0.1667,0.0000
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
9,2027,100,1,0,0,24,240,862,209,639,14,19,0,1,19,6,0,1917,0,0.9838,3.9812,0.3158,0.0000
10,2027,100,1,0,0,25,250,933,226,694,13,24,0,2,6,2,0,2082,0,0.9861,3.9769,0.3333,0.0000
11,2027,100,1,0,0,26,260,988,252,717,19,24,0,2,29,3,0,2151,0,0.9808,4.0544,0.1034,0.0000
12,0,0,0,0,0,60,0,2296,645,1620,31,58,0,1,69,26,0,4860,0,0.9865,4.1944,0.3768,0.0000
13,0,0,0,0,0,66,0,2492,671,1793,28,42,0,3,66,32,0,5379,0,0.9888,4.1227,0.4848,0.0000
14,0,0,0,0,0,66,0,2527,701,1782,44,64,0,6,63,28,0,5349,0,0.9826,4.1778,0.4444,0.0000
15,0,0,0,0,0,60,0,2296,631,1632,33,56,0,6,37,16,0,4899,0,0.9856,4.1574,0.4324,0.0000
16,2027,101,6,0,0,23,230,842,223,607,12,30,0,2,14,3,0,1821,0,0.9857,4.1021,0.2143,0.0000
17,2027,101,6,0,0,25,250,929,250,664,15,23,0,3,23,4,0,1992,0,0.9839,4.1295,0.1739,0.0000
18,2027,101,6,0,0,24,240,907,245,646,16,20,0,0,33,12,0,1938,0,0.9824,4.1378,0.3636,0.0000
19,2027,101,6,0,0,24,240,901,252,640,9,28,0,2,29,8,0,1920,0,0.9900,4.1813,0.2759,0.0000
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
24,2027,100,1,0,0,25,250,899,196,685,18,14,0,0,14,3,0,2055,0,0.9800,3.8584,0.2143,0.0000
25,2027,100,1,0,0,26,260,948,235,688,25,19,0,4,19,1,0,2064,0,0.9736,4.0247,0.0526,0.0000
