team_id,gate_revenue,season_ticket_revenue,media_revenue,merchandising_revenue,revenue_sharing,playoff_revenue,cash,cash_owner,cash_trades,previous_balance,player_expenses,staff_expenses,stadium_expenses,season_tickets,attendance,fan_interest,fan_loyalty,fan_modifier,ticket_price,local_media_contract,local_media_contract_expires,national_media_contract,national_media_contract_expires,scouting_budget,development_budget,draft_budget,draft_expenses,intl_fa_budget,spent_in_intl,budget,market,owner_expectation,total_revenue,total_expenses,financial_balance,budget_balance,player_payroll,player_payroll_next_season,player_payroll_offered,mode
1,0,21421425,73256757,0,0,0,8000000,22547833,0,-14547833,0,0,0,16638,597389,99,4,-1,25.7500,37500000,3,35756757,3,0,12000000,0,0,0,0,148000000,4,4,94678182,18393608,84284574,137606392,23859350.0000,25150000.0000,0.0000,0
2,0,25521925,98418919,0,0,0,2000000,-8875419,0,10875419,0,0,0,16874,282843,86,6,-1,30.2500,55000000,3,43418919,2,0,8189300,0,0,0,0,172000000,6,5,123940844,13376106,112564738,160623894,21616775.0000,27173050.0000,0.0000,1
3,0,26481750,151405405,0,0,0,3000000,-34332625,0,37332625,0,0,0,15810,338634,93,7,-14,33.5000,85000000,1,66405405,1,0,13242100,0,0,0,0,238000000,8,1,177887155,17232930,163654225,223767070,23142725.0000,23125700.0000,0.0000,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,12000000,-12000000,-12000000,13375000.0000,0.0000,0.0000,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,12000000,0,0,0,0,0,0,0,0,12000000,-12000000,-12000000,13375000.0000,0.0000,0.0000,0
9,0,26356200,106081081,0,0,0,4000000,-149518571,0,153518571,0,0,0,19344,364670,100,6,0,27.2500,55000000,2,51081081,2,0,18000000,0,0,0,0,40000000,5,5,132437281,20872361,115564920,23127639,21645425.0000,18870000.0000,0.0000,1
10,0,25858887,106081081,0,0,0,9000000,-144580571,0,153580571,0,0,0,18979,373809,100,7,-9,27.2500,55000000,3,51081081,3,0,18000000,0,0,0,0,37500000,7,4,131939968,26640059,114299909,19859941,17128200.0000,34147150.0000,0.0000,0
11,0,22403700,106081081,0,0,0,6000000,-143491051,0,149491051,0,0,0,18104,608643,95,7,-9,24.7500,55000000,1,51081081,2,0,18000000,0,0,0,0,37500000,6,0,128484781,26692000,107792781,16808000,29727700.0000,30291400.0000,0.0000,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9630000.0000,0.0000,0.0000,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9630000.0000,0.0000,0.0000,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9630000.0000,0.0000,0.0000,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9630000.0000,0.0000,0.0000,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,4049,135505,81,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10923375.0000,0.0000,0.0000,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,221393,83,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14234100.0000,0.0000,0.0000,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,4296,129566,87,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11853600.0000,0.0000,0.0000,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,4255,185687,86,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24272700.0000,0.0000,0.0000,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,4887,230418,42,0,-11,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13585000.0000,18490000.0000,0.0000,1
25,0,0,0,0,0,0,0,0,0,0,0,0,0,4784,226726,29,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28098400.0000,19017750.0000,0.0000,0
