"team_id","league_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr","ttl_wins","ttl_losses","below.500","winloss","RA","ttl_ra","ttl_runs","ttl_hits","ttl_rs_sq","ttl_ra_sq","gp","wp","pythag_win","pythag_loss","pythag_record","Primary Color","Division Standing","League Standing","season"
1,100,2,2029-05-15,1905,9,5,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",1,0,1,"1 - 0",3,3,5,7,25,9,1,0.735294117647059,1,0,"1 - 0","#0E1540",3,4,"2029"
1,100,7,2029-05-16,1905,11,5,5,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",2,0,2,"2 - 0",4,7,10,12,100,49,2,0.671140939597315,1,1,"1 - 1","#0E1540",3,4,"2029"
1,100,12,2029-05-17,1905,9,5,9,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",3,0,3,"3 - 0",4,11,15,21,225,121,3,0.65028901734104,2,1,"2 - 1","#0E1540",3,4,"2029"
1,100,17,2029-05-18,1905,9,4,10,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",3,1,2,"3 - 1",7,18,19,31,361,324,4,0.527007299270073,2,2,"2 - 2","#0E1540",3,4,"2029"
1,100,21,2029-05-21,1905,9,1,6,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,2,1,"3 - 2",2,20,20,37,400,400,5,0.5,2,3,"2 - 3","#0E1540",3,4,"2029"
1,100,26,2029-05-22,1905,9,11,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",4,2,2,"4 - 2",1,21,31,49,961,441,6,0.685449358059914,4,2,"4 - 2","#0E1540",3,4,"2029"
1,100,31,2029-05-23,1905,10,8,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",5,2,3,"5 - 2",7,28,39,58,1521,784,7,0.659869848156182,5,2,"5 - 2","#0E1540",3,4,"2029"
1,100,40,2029-05-26,1905,9,4,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",5,3,2,"5 - 3",8,36,43,64,1849,1296,8,0.5879173290938,5,3,"5 - 3","#0E1540",3,4,"2029"
1,100,44,2029-05-27,1905,9,5,9,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",6,3,3,"6 - 3",1,37,48,73,2304,1369,9,0.627280152463926,6,3,"6 - 3","#0E1540",3,4,"2029"
1,100,49,2029-05-28,1905,9,3,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",6,4,2,"6 - 4",6,43,51,79,2601,1849,10,0.584494382022472,6,4,"6 - 4","#0E1540",3,4,"2029"
1,100,54,2029-05-29,1905,9,4,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",7,4,3,"7 - 4",3,46,55,86,3025,2116,11,0.588406924722817,6,5,"6 - 5","#0E1540",3,4,"2029"
1,100,61,2029-06-01,1905,9,5,9,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",7,5,2,"7 - 5",7,53,60,95,3600,2809,12,0.561710095178655,7,5,"7 - 5","#0E1540",3,4,"2029"
1,100,66,2029-06-02,1905,9,8,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",8,5,3,"8 - 5",3,56,68,104,4624,3136,13,0.595876288659794,8,5,"8 - 5","#0E1540",3,4,"2029"
1,100,71,2029-06-03,1905,9,11,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",9,5,4,"9 - 5",1,57,79,116,6241,3249,14,0.657639620653319,9,5,"9 - 5","#0E1540",3,4,"2029"
1,100,76,2029-06-04,1905,9,8,10,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",10,5,5,"10 - 5",4,61,87,126,7569,3721,15,0.670416297608503,10,5,"10 - 5","#0E1540",3,4,"2029"
1,100,79,2029-06-06,1905,9,3,10,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",10,6,4,"10 - 6",8,69,90,136,8100,4761,16,0.629811056682995,10,6,"10 - 6","#0E1540",3,4,"2029"
1,100,83,2029-06-07,1905,9,8,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",11,6,5,"11 - 6",0,69,98,148,9604,4761,17,0.668569439610164,11,6,"11 - 6","#0E1540",3,4,"2029"
1,100,88,2029-06-08,1905,9,6,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",12,6,6,"12 - 6",0,69,104,160,10816,4761,18,0.694357064903383,12,6,"12 - 6","#0E1540",3,4,"2029"
1,100,93,2029-06-09,1905,9,9,13,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",13,6,7,"13 - 6",6,75,113,173,12769,5625,19,0.694193758834402,13,6,"13 - 6","#0E1540",3,4,"2029"
